Reactant ID,ee (%),Alkene Type
react_0,86,trans_di
react_1,94,mono
react_2,65,mono
react_3,92,mono
react_3,90,mono
react_4,99.5,mono
react_5,95,mono
react_6,98,tri
react_6,95,tri
react_7,99,tri
react_7,97,tri
react_8,97,trans_di
react_8,93,trans_di
react_9,99,tri
react_9,96,tri
react_10,97,tri
react_10,95,tri
react_11,99.5,tri
react_11,99.5,tri
react_12,78,gem_di
react_12,76,gem_di
react_13,94,gem_di
react_13,93,gem_di
react_14,84,mono
react_14,80,mono
react_15,97,mono
react_15,97,mono
react_16,77,mono
react_16,70,mono
react_17,91,mono
react_17,88,mono
react_18,99,mono
react_19,97,mono
react_20,87,mono
react_21,64,mono
react_22,86,mono
react_23,98.3,mono
react_24,27,mono
react_25,89,mono
react_26,90,mono
react_27,29,mono
react_28,90,mono
react_29,84,mono
react_30,87,mono
react_31,92,trans_di
react_31,92,trans_di
react_32,74,trans_di
react_33,95,trans_di
react_34,95,trans_di
react_35,94,trans_di
react_35,86,trans_di
react_36,85,trans_di
react_37,94,trans_di
react_38,98,trans_di
react_38,98,trans_di
react_39,95,trans_di
react_39,90,trans_di
react_40,91,trans_di
react_41,88,trans_di
react_42,93,trans_di
react_43,96,trans_di
react_44,75,trans_di
react_45,99,trans_di
react_46,91,trans_di
react_47,96,trans_di
react_48,99,trans_di
react_48,98,trans_di
react_49,92,trans_di
react_49,84,trans_di
react_50,97,trans_di
react_50,95,trans_di
react_51,95,trans_di
react_52,78,trans_di
react_53,98,trans_di
react_54,98,trans_di
react_55,94,trans_di
react_56,99,trans_di
react_56,99,trans_di
react_57,58,cis_di
react_58,74,cis_di
react_57,50,cis_di
react_59,26,cis_di
react_60,54,cis_di
react_61,64,cis_di
react_62,0,cis_di
react_63,71,cis_di
react_64,13,cis_di
react_65,64,cis_di
react_66,23,cis_di
react_58,64,cis_di
react_60,45,cis_di
react_63,73,cis_di
react_65,57,cis_di
react_67,42,cis_di
react_68,35,cis_di
react_68,45,cis_di
react_69,77,cis_di
react_70,15,cis_di
react_71,53,cis_di
react_71,53,cis_di
react_72,61,cis_di
react_72,61,cis_di
react_73,64,cis_di
react_74,46,cis_di
react_75,21,cis_di
react_76,20,cis_di
react_77,12,tri
react_78,61,tri
react_79,79,mono
react_80,63,mono
react_81,66,mono
react_82,88,mono
react_83,99,mono
react_81,64,mono
react_84,98,tri
react_85,96,mono
react_86,97,trans_di
react_87,13,tri
react_88,18,tri
react_89,35,tri
react_90,90,tri
react_91,96,tri
react_92,96,tri
react_93,85,mono
react_94,87,mono
react_95,87,mono
react_96,85,mono
react_97,91,gem_di
react_98,31,gem_di
react_99,11,gem_di
react_100,47,gem_di
react_101,43,gem_di
react_102,15,gem_di
react_103,45,gem_di
react_104,88,gem_di
react_105,40,gem_di
react_106,13,gem_di
react_107,93,gem_di
react_108,98.5,gem_di
react_108,98.5,gem_di
react_109,98,gem_di
react_109,98,gem_di
react_110,44,gem_di
react_111,83,gem_di
react_111,50,gem_di
react_111,96,gem_di
react_112,87,gem_di
react_113,11,gem_di
react_114,35,gem_di
react_115,97,gem_di
react_116,88,gem_di
react_117,93,gem_di
react_118,78,gem_di
react_119,92,gem_di
react_120,77,gem_di
react_121,70,gem_di
react_122,0,gem_di
react_123,0,gem_di
react_124,85,gem_di
react_125,87,gem_di
react_126,90,gem_di
react_127,90,gem_di
react_128,85,gem_di
react_129,24,gem_di
react_130,96,gem_di
react_131,95,gem_di
react_132,79,gem_di
react_133,79,gem_di
react_133,80,gem_di
react_134,60,gem_di
react_135,82,gem_di
react_136,56,gem_di
react_137,8,gem_di
react_138,58,gem_di
react_139,48,gem_di
react_140,55,gem_di
react_141,37,gem_di
react_142,57,gem_di
react_143,86,gem_di
react_144,80,gem_di
react_145,53,gem_di
react_146,96,gem_di
react_147,31,gem_di
react_148,82,gem_di
react_149,94,gem_di
react_150,20,gem_di
react_151,31,gem_di
react_152,16,gem_di
react_153,14,gem_di
react_154,98,gem_di
react_155,85,gem_di
react_156,32,gem_di
react_156,36,gem_di
react_157,8,gem_di
react_158,92,gem_di
react_159,10,gem_di
react_160,78,gem_di
react_161,55,gem_di
react_162,77,gem_di
react_163,28,gem_di
react_164,84,gem_di
react_165,98,gem_di
react_166,98,gem_di
react_167,99,gem_di
react_168,97,gem_di
react_169,81,gem_di
react_170,28,gem_di
react_171,53,gem_di
react_172,91,gem_di
react_172,95,gem_di
react_173,67,gem_di
react_174,86,gem_di
react_175,91,gem_di
react_142,92,gem_di
react_176,95,cis_di
react_176,91,cis_di
react_177,90,cis_di
react_178,45,cis_di
react_80,70,mono
react_179,66,mono
react_180,63,mono
react_181,63,mono
react_182,70,mono
react_183,63,mono
react_184,35,mono
react_185,65,mono
react_186,44,mono
react_186,46,mono
react_2,65,mono
react_187,74,mono
react_187,79,mono
react_188,56,mono
react_189,80,mono
react_190,84,mono
react_191,98,mono
react_192,35,mono
react_193,44,mono
react_194,61,mono
react_195,88,mono
react_195,82,mono
react_196,29,mono
react_197,92,mono
react_198,98,mono
react_199,73,mono
react_200,72,mono
react_201,54,mono
react_202,77,mono
react_203,92,mono
react_204,89,mono
react_205,84,mono
react_206,84,mono
react_207,95,mono
react_208,63,mono
react_209,94,mono
react_210,28,mono
react_211,77,mono
react_212,87,mono
react_213,17,mono
react_214,88,mono
react_215,36,mono
react_216,81,mono
react_217,6,mono
react_83,92.4,mono
react_218,98.8,mono
react_219,96,mono
react_220,99.6,mono
react_221,99,mono
react_222,95,mono
react_223,16,mono
react_224,67,mono
react_225,98,mono
react_226,87,mono
react_227,90,mono
react_228,91.6,mono
react_229,98.2,mono
react_230,95.2,mono
react_231,34,mono
react_232,97.3,mono
react_233,96,mono
react_234,16,mono
react_235,95,mono
react_236,98,mono
react_237,99.4,mono
react_238,0,mono
react_238,0,mono
react_239,16,mono
react_240,82,mono
react_241,97,mono
react_242,41.4,mono
react_243,10,mono
react_243,7,mono
react_244,64,mono
react_245,54.2,mono
react_246,87,mono
react_247,64,mono
react_29,92,mono
react_248,0,mono
react_248,0,mono
react_249,62,mono
react_250,56,mono
react_251,78,mono
react_252,56,mono
react_253,94,mono
react_254,99,mono
react_255,55.5,mono
react_255,78,mono
react_256,78,tri
react_256,83,tri
react_257,98,tri
react_258,36,tri
react_259,71,tri
