Created as New Dataset,Sample 515 By Analyst Date Thursday, April 01 2021
cm-1,%T,
4000,98.49,
3999,98.49,
3998,98.48,
3997,98.47,
3996,98.47,
3995,98.47,
3994,98.47,
3993,98.46,
3992,98.46,
3991,98.46,
3990,98.46,
3989,98.47,
3988,98.47,
3987,98.47,
3986,98.46,
3985,98.46,
3984,98.46,
3983,98.46,
3982,98.47,
3981,98.47,
3980,98.48,
3979,98.48,
3978,98.48,
3977,98.48,
3976,98.48,
3975,98.48,
3974,98.49,
3973,98.49,
3972,98.49,
3971,98.49,
3970,98.49,
3969,98.49,
3968,98.48,
3967,98.48,
3966,98.48,
3965,98.48,
3964,98.48,
3963,98.48,
3962,98.47,
3961,98.47,
3960,98.47,
3959,98.48,
3958,98.48,
3957,98.48,
3956,98.48,
3955,98.48,
3954,98.49,
3953,98.49,
3952,98.5,
3951,98.5,
3950,98.49,
3949,98.49,
3948,98.49,
3947,98.49,
3946,98.49,
3945,98.49,
3944,98.49,
3943,98.49,
3942,98.49,
3941,98.48,
3940,98.48,
3939,98.48,
3938,98.48,
3937,98.48,
3936,98.48,
3935,98.48,
3934,98.49,
3933,98.49,
3932,98.49,
3931,98.5,
3930,98.5,
3929,98.5,
3928,98.5,
3927,98.49,
3926,98.49,
3925,98.49,
3924,98.48,
3923,98.49,
3922,98.49,
3921,98.49,
3920,98.5,
3919,98.5,
3918,98.51,
3917,98.51,
3916,98.51,
3915,98.51,
3914,98.5,
3913,98.5,
3912,98.5,
3911,98.5,
3910,98.5,
3909,98.5,
3908,98.5,
3907,98.5,
3906,98.5,
3905,98.5,
3904,98.51,
3903,98.51,
3902,98.51,
3901,98.51,
3900,98.51,
3899,98.51,
3898,98.51,
3897,98.52,
3896,98.52,
3895,98.52,
3894,98.52,
3893,98.52,
3892,98.52,
3891,98.52,
3890,98.53,
3889,98.54,
3888,98.54,
3887,98.53,
3886,98.52,
3885,98.51,
3884,98.51,
3883,98.5,
3882,98.49,
3881,98.49,
3880,98.49,
3879,98.5,
3878,98.51,
3877,98.52,
3876,98.52,
3875,98.51,
3874,98.51,
3873,98.52,
3872,98.52,
3871,98.51,
3870,98.5,
3869,98.5,
3868,98.5,
3867,98.5,
3866,98.5,
3865,98.49,
3864,98.5,
3863,98.5,
3862,98.51,
3861,98.51,
3860,98.51,
3859,98.51,
3858,98.51,
3857,98.51,
3856,98.51,
3855,98.51,
3854,98.51,
3853,98.51,
3852,98.51,
3851,98.52,
3850,98.51,
3849,98.51,
3848,98.51,
3847,98.52,
3846,98.52,
3845,98.52,
3844,98.52,
3843,98.53,
3842,98.53,
3841,98.54,
3840,98.54,
3839,98.54,
3838,98.54,
3837,98.53,
3836,98.53,
3835,98.52,
3834,98.51,
3833,98.5,
3832,98.49,
3831,98.49,
3830,98.49,
3829,98.5,
3828,98.51,
3827,98.52,
3826,98.52,
3825,98.52,
3824,98.51,
3823,98.5,
3822,98.5,
3821,98.5,
3820,98.51,
3819,98.52,
3818,98.52,
3817,98.51,
3816,98.5,
3815,98.5,
3814,98.5,
3813,98.5,
3812,98.5,
3811,98.5,
3810,98.51,
3809,98.51,
3808,98.51,
3807,98.51,
3806,98.51,
3805,98.51,
3804,98.51,
3803,98.51,
3802,98.51,
3801,98.51,
3800,98.51,
3799,98.51,
3798,98.5,
3797,98.49,
3796,98.48,
3795,98.49,
3794,98.5,
3793,98.5,
3792,98.51,
3791,98.51,
3790,98.51,
3789,98.5,
3788,98.5,
3787,98.49,
3786,98.5,
3785,98.5,
3784,98.5,
3783,98.51,
3782,98.51,
3781,98.51,
3780,98.51,
3779,98.51,
3778,98.51,
3777,98.51,
3776,98.51,
3775,98.51,
3774,98.51,
3773,98.51,
3772,98.51,
3771,98.51,
3770,98.51,
3769,98.51,
3768,98.51,
3767,98.52,
3766,98.52,
3765,98.52,
3764,98.52,
3763,98.52,
3762,98.52,
3761,98.51,
3760,98.51,
3759,98.51,
3758,98.51,
3757,98.52,
3756,98.52,
3755,98.52,
3754,98.53,
3753,98.53,
3752,98.53,
3751,98.52,
3750,98.52,
3749,98.52,
3748,98.53,
3747,98.53,
3746,98.53,
3745,98.53,
3744,98.53,
3743,98.53,
3742,98.54,
3741,98.53,
